DATE HOME-AWAY
1 3-11
1 6-17
1 15-14
1 18-16
3 1-11
3 8-13
3 20-5
3 10-17
5 3-15
5 8-7
5 12-16
2 18-7
7 1-15
6 2-20
7 10-16
7 11-18
7 3-4
7 17-5
8 7-13
8 9-20
9 10-12
9 6-16
9 14-4
10 13-11
10 3-8
10 2-9
10 1-18
11 6-12
11 15-4
12 14-8
12 20-10
12 16-5
15 11-1
14 14-3
13 7-11
14 19-10
14 17-20
14 12-9
14 15-8
15 16-6
18 18-1
16 19-20
16 17-10
16 15-3
16 4-7
17 9-2
17 16-6
19 10-6
19 3-7
19 2-12
19 20-17
19 8-11
19 16-19
21 8-14
21 9-12
21 5-19
22 1-13
22 6-2
22 17-16
23 11-4
23 18-3
24 17-9
24 19-16
24 6-5
24 10-2
23 7-14
25 11-3
25 13-14
26 15-1
26 18-8
26 19-9
26 10-5
26 20-16
27 13-3
28 4-8
28 14-1
28 12-5
28 20-9
30 7-8
30 12-6
30 15-18
30 16-10
29 19-17
30 3-1
34 17-12
31 17-19
31 4-13
32 14-18
32 2-6
34 5-20
32 5-10
32 16-20
34 3-18
34 11-13
34 1-7
34 8-15
34 9-6
37 13-1
36 4-14
36 7-15
36 19-12
37 2-17
37 9-16
38 11-14
38 18-15
38 20-12
39 9-17
39 6-19
39 2-16
40 18-14
41 10-19
41 12-17
41 15-11
42 6-9
42 5-2
42 4-3
43 14-11
39 8-1
39 13-4
46 13-8
43 12-19
44 10-9
43 18-13
44 1-8
44 16-2
44 7-3
45 14-15
45 20-6
46 11-7
46 1-3
47 9-5
47 19-6
48 11-8
49 7-1
49 18-4
49 17-6
49 2-5
50 9-19
52 4-1
52 7-18
52 2-19
53 9-10
54 8-4
54 5-16
55 13-18
55 11-15
55 2-10
56 3-14
56 12-20
57 4-15
57 13-7
58 1-14
58 10-20
59 13-15
59 7-4
59 8-18
60 6-20
60 17-2
60 16-12
62 3-13
62 19-2
62 5-12
63 4-11
64 14-7
65 15-13
64 20-2
65 12-10
65 5-9
65 16-17
66 18-11
66 1-4
66 15-7
66 8-3
66 14-13
67 12-2
67 6-10
67 20-19
67 5-17
67 16-9
